image_path,sharp_var,entropy,meanR,meanG,meanB,stdR,stdG,stdB,edge_density,brightness,noise_est,ela_mean,ela_std,fft_mean,dct_mean,target
/content/drive/MyDrive/DATASET/fake_cifake_images/1.png,1805.7781972885132,6.515752918861214,71.64258,57.595703,57.282227,31.346838,28.587221,27.391468,45.322265625,61.799805,0.2830188572406769,1.20703125,1.0837831497192383,0.3703663945198059,0.40902179479599,1
/content/drive/MyDrive/DATASET/fake_cifake_images/10.png,2689.4432983398438,7.271533237014504,70.42578,74.62598,69.63867,54.124027,57.22516,57.413185,53.5400390625,72.82031,0.6140350699424744,1.4632161855697632,1.379000186920166,0.4779857099056244,0.29493507742881775,1
/content/drive/MyDrive/DATASET/fake_cifake_images/100.png,1038.522780418396,7.383947048591128,136.1289,120.31836,110.509766,56.83447,52.04714,49.949448,34.6142578125,123.94238,0.36153846979141235,1.0221353769302368,1.114898920059204,0.3515298366546631,0.4030558168888092,1
/content/drive/MyDrive/DATASET/fake_cifake_images/1000.png,3067.399458885193,7.530331600673822,112.49805,142.7373,157.26074,47.452732,64.64713,77.38799,61.5087890625,135.34668,0.38686132431030273,1.646484375,1.6429380178451538,0.37025514245033264,0.5108626484870911,1
/content/drive/MyDrive/DATASET/fake_cifake_images/101.png,3593.419478416443,7.649347007778328,152.46289,128.91895,108.63281,80.24521,81.14477,83.67871,54.5361328125,133.65918,0.4736842215061188,1.6787109375,1.5626965761184692,0.4411245584487915,0.47026920318603516,1
/content/drive/MyDrive/DATASET/fake_cifake_images/102.png,3057.0600805282593,7.378736578041725,97.44336,90.09473,90.325195,50.69282,47.978386,47.000755,53.7890625,92.319336,0.3563218414783478,1.4749349355697632,1.4790276288986206,0.41737592220306396,0.3565960228443146,1
/content/drive/MyDrive/DATASET/fake_cifake_images/103.png,1450.5294036865234,7.268798604686607,80.884766,82.74121,71.64746,61.656578,59.234196,54.303005,59.5166015625,80.918945,0.5161290168762207,2.4270832538604736,3.250483989715576,0.3523012399673462,0.2783830463886261,1
/content/drive/MyDrive/DATASET/fake_cifake_images/104.png,2166.455551147461,6.722793126963306,145.57324,113.21094,70.77637,37.306328,32.464893,23.372656,69.4775390625,118.06055,0.1349206417798996,1.9075521230697632,2.3368470668792725,0.40934687852859497,0.5103148818016052,1
/content/drive/MyDrive/DATASET/fake_cifake_images/105.png,1187.916015625,6.998313834588487,112.944336,67.21094,67.5625,51.543102,50.15934,42.326023,36.85546875,80.9707,0.625,1.0520833730697632,1.077357292175293,0.40038520097732544,0.3626178205013275,1
/content/drive/MyDrive/DATASET/fake_cifake_images/106.png,2140.1848287582397,7.063726484907706,117.80762,105.56543,77.100586,38.22887,36.025917,34.667625,81.181640625,105.98633,0.22429905831813812,1.4287109375,1.297080397605896,0.3774547278881073,0.335737943649292,1
/content/drive/MyDrive/DATASET/fake_cifake_images/107.png,2510.19979763031,7.23418228694043,130.19629,123.94238,117.64258,47.350315,53.658184,58.756176,51.796875,125.09961,0.38759690523147583,1.5276693105697632,1.31394362449646,0.3491523861885071,0.43398958444595337,1
/content/drive/MyDrive/DATASET/fake_cifake_images/108.png,3826.632155418396,7.5469164166924045,131.95996,124.01172,124.36328,54.438587,69.34863,78.620094,72.216796875,126.42871,0.42446044087409973,1.99609375,1.7973462343215942,0.36542683839797974,0.463172972202301,1
/content/drive/MyDrive/DATASET/fake_cifake_images/109.png,1392.2880239486694,7.048644311695902,129.19434,131.55469,119.45117,37.255325,38.41947,31.377731,59.267578125,129.44336,0.19629628956317902,1.2591146230697632,1.207580327987671,0.41885343194007874,0.5474247336387634,1
/content/drive/MyDrive/DATASET/fake_cifake_images/11.png,683.4574584960938,6.57913510217082,88.194336,110.37988,74.25098,40.56024,29.192875,23.123743,44.0771484375,99.62109,0.2164948433637619,1.3818359375,1.4698694944381714,0.3755507469177246,0.32770591974258423,1
/content/drive/MyDrive/DATASET/fake_cifake_images/110.png,2694.8107748031616,7.541803080421447,83.541016,109.94238,147.5664,53.059486,63.31333,70.49832,61.0107421875,106.325195,0.4112149477005005,2.3893229961395264,2.3448171615600586,0.3895973563194275,0.4142148792743683,1
/content/drive/MyDrive/DATASET/fake_cifake_images/111.png,9892.132869720459,7.533042745461108,122.387695,123.82422,94.46387,60.015663,57.740536,53.12269,90.3955078125,120.038086,0.3076923191547394,2.2265625,1.8461594581604004,0.3816491365432739,0.6105880737304688,1
/content/drive/MyDrive/DATASET/fake_cifake_images/112.png,2075.8940391540527,7.038757867921858,123.68945,122.23535,124.40039,34.179176,38.084766,41.16767,82.4267578125,122.92383,0.19200000166893005,1.8567708730697632,1.8416283130645752,0.38177767395973206,0.3620217442512512,1
/content/drive/MyDrive/DATASET/fake_cifake_images/113.png,2476.1935567855835,7.142809603381531,117.30762,98.618164,99.56738,52.93558,47.64433,48.595863,78.193359375,104.31543,0.22689075767993927,1.3798828125,1.190740704536438,0.3585588037967682,0.6666513681411743,1
/content/drive/MyDrive/DATASET/fake_cifake_images/114.png,6432.15625667572,7.617991583245914,115.29297,125.76758,119.94922,59.834587,57.432865,54.508774,82.9248046875,121.97656,0.3306451737880707,2.0592448711395264,1.8904930353164673,0.40878939628601074,0.3797723948955536,1
/content/drive/MyDrive/DATASET/fake_cifake_images/115.png,1854.8148803710938,6.002573494619908,230.54199,224.74414,208.87402,36.843952,34.94252,33.562977,25.6494140625,224.6748,0.050847455859184265,0.8548176884651184,1.1788679361343384,0.3783680200576782,0.6586304903030396,1
/content/drive/MyDrive/DATASET/fake_cifake_images/116.png,993.3968877792358,7.158518988022241,147.79102,146.93066,155.7959,68.39532,76.175964,71.78689,45.322265625,148.1748,0.2711864411830902,1.1285806894302368,1.1973563432693481,0.3440684676170349,0.5096819400787354,1
/content/drive/MyDrive/DATASET/fake_cifake_images/117.png,499.4487371444702,6.372771785570398,117.66992,129.62988,145.8164,29.348236,24.661076,17.960445,17.9296875,127.88281,0.140625,0.8245442509651184,0.956139326095581,0.31184154748916626,0.45014381408691406,1
/content/drive/MyDrive/DATASET/fake_cifake_images/118.png,2640.4414281845093,7.4947805912598,157.6289,138.60449,118.08008,58.037796,60.293106,59.80149,63.5009765625,141.9375,0.3233082592487335,1.4651693105697632,1.3975741863250732,0.4041166305541992,0.3328416049480438,1
/content/drive/MyDrive/DATASET/fake_cifake_images/119.png,767.5304832458496,6.264261909800545,150.43555,128.28223,112.16211,26.163095,33.014076,41.431904,49.8046875,133.0791,0.08163265138864517,1.1806640625,1.1919777393341064,0.36346349120140076,0.6681808829307556,1
/content/drive/MyDrive/DATASET/fake_cifake_images/12.png,1194.2905950546265,7.002962275274797,194.20215,178.8291,159.29785,31.312206,39.925117,42.290546,57.275390625,181.1875,0.1405835598707199,1.296875,1.1243125200271606,0.3496164083480835,0.4438055157661438,1
